Primary ID,Printlet weight
Amlodipine_N1_1,158.0
Amlodipine_N1_2,186.0
Amlodipine_N2_1,156.0
Amlodipine_N2_2,147.0
Amlodipine_N4_1,165.0
Amlodipine_N4_2,173.0
Amlodipine_N5_1,175.0
Amlodipine_N5_2,178.0
Amlodipine_N10_1,150.0
Amlodipine_N10_2,148.0
Amlodipine_N11_1,147.0
Amlodipine_N11_2,177.0
Paracetamol_N1_1,187.0
Paracetamol_N1_2,172.0
Paracetamol_N2_1,186.0
Paracetamol_N2_2,177.0
Paracetamol_N3_1,170.0
Paracetamol_N3_2,177.0
Paracetamol_N4_1,183.0
Paracetamol_N4_2,173.0
Paracetamol_N5_1,175.0
Paracetamol_N5_2,177.0
Paracetamol_N6_1,172.0
Paracetamol_N6_2,164.0
Paracetamol_N7_1,164.0
Paracetamol_N7_2,166.0
Paracetamol_N8_1,170.0
Paracetamol_N8_2,173.0
Paracetamol_N9_1,176.0
Paracetamol_N9_2,177.0
Paracetamol_N10_1,178.0
Paracetamol_N10_2,171.0
Paracetamol_N11_1,176.0
Paracetamol_N11_2,170.0
Felodipine_N1_1,151.83
Felodipine_N1_2,169.02
Felodipine_N2_1,166.22
Felodipine_N2_2,164.65
Felodipine_N3_1,152.57
Felodipine_N3_2,156.34
Felodipine_N4_1,164.0
Felodipine_N4_2,166.0
Felodipine_N5_1,174.0
Felodipine_N5_2,173.0
Felodipine_N6_1,150.66
Felodipine_N6_2,161.92
Felodipine_N7_1,168.0
Felodipine_N7_2,184.0
Felodipine_N8_1,143.0
Felodipine_N8_2,141.0
Felodipine_N9_1,180.0
Felodipine_N9_2,164.0
Felodipine_N10_1,151.0
Felodipine_N10_2,148.0
Felodipine_N11_1,151.0
Felodipine_N11_2,148.0
Simvastatine_N1_1,162.0
Simvastatine_N1_2,154.0
Simvastatine_N2_1,177.0
Simvastatine_N2_2,172.0
Simvastatine_N3_1,156.0
Simvastatine_N3_2,160.0
Simvastatine_N4_1,167.0
Simvastatine_N4_2,145.0
Simvastatine_N5_1,152.0
Simvastatine_N5_2,153.0
Simvastatine_N6_1,152.0
Simvastatine_N6_2,150.0
Simvastatine_N7_1,165.0
Simvastatine_N7_2,148.0
Simvastatine_N8_1,160.0
Simvastatine_N8_2,158.0
Simvastatine_N9_1,147.0
Simvastatine_N9_2,141.0
Simvastatine_N10_1,152.0
Simvastatine_N10_2,160.0
Simvastatine_N11_1,151.0
Simvastatine_N11_2,156.0
Carvedilol_N1_1,146.05
Carvedilol_N1_2,150.54
Carvedilol_N2_1,172.52
Carvedilol_N2_2,170.37
Carvedilol_N4_1,172.39
Carvedilol_N4_2,163.23
Carvedilol_N5_1,173.82
Carvedilol_N5_2,186.07
Carvedilol_N6_1,151.5
Carvedilol_N6_2,151.82
Carvedilol_N7_1,161.88
Carvedilol_N7_2,142.12
Carvedilol_N8_1,153.25
Carvedilol_N8_2,165.19
