Primary ID,MW_Spartan,Energy,Solvation E,HOMO,Dipol,Tautomeri,LUMO,Conformeri,Area A^2,Volum A^3,Acc area A^2,Min ElPot kJ/mol,MinLocIonPot kJ/mol,LogP,PSA A^2,Ovality,MaxElPot kJ/mo,Polaririzability,ZPE kJ/mol,H0,Cv,S0,G0,ST-Diam (mm),3PBT-Diam (mm),3PBT-Radius (mm),ST-Hardness (g),ST-Rigidity at 2% deformation (g),ST-Rigidity at 4% deformation (g),ST-Peak stress (N/mp),3PBT-Hardness (g),3PBT-Deformation at hardness (mm),3PBT-Total work (mJ),3PBT-Maximum force (N),3PBT-Peak stress (N/mp),3PBT-Flexural stress (g/mmp) (Samaro 2021 Prasad 2019),3PBT-Flexural strain (%),3PBT-Breaking distance (mm),3PBT-Stiffness (N/mm) (Hu 2022)
BCS1_S1,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.99,1.88,0.94,8075.0,1260.0,5550.0,25462604.0,1532.0,5.79,15.65,15.0136,5404240.0,143.91684868373792,10.449792,5.79,2.593022452504318
BCS1_S2,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.91,1.77,0.885,10205.0,2630.0,7460.0,34869988.0,1083.0,5.88,9.75,10.6134,4317318.0,121.90880687132592,9.991296,5.88,1.8050000000000002
BCS1_S3,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.91,1.82,0.91,1700.0,350.0,875.0,5808817.0,1111.5,6.48,12.08,10.8927,4192343.0,115.08579612450262,11.321856,6.48,1.680972222222222
BCS1_S4,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.91,1.91,0.955,8145.0,1745.0,5935.0,27831068.0,1618.0,5.81,17.65,15.856399999999999,5528627.0,144.94553407195548,10.653215999999997,5.81,2.729156626506024
BCS1_S5,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.9,1.83,0.915,9005.0,2480.0,6770.0,31094676.0,,,,,,,,,
BCS1_S6,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.81,1.61,0.805,3570.0,415.0,2190.0,13622467.0,750.5,6.05,6.98,7.3549,3607790.0,112.2533968244329,9.35088,6.05,1.2156859504132231
BCS1_S7,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.83,1.62,0.81,8690.0,2485.0,6535.0,32402960.0,755.0,5.97,7.15,7.399,3594185.0,110.8481198642743,9.284544,5.97,1.2393634840871022
BCS1_S8,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.88,1.58,0.79,3855.0,215.0,2000.0,13598790.0,500.0,1.22,3.27,4.8999999999999995,2501696.0,79.12708498415576,1.850496,1.22,4.016393442622951
BCS1_S9,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.85,1.52,0.76,8680.0,2165.0,6120.0,31643764.0,707.5,2.03,7.68,6.9334999999999996,3833262.0,125.75408559398917,2.9621759999999995,2.03,3.4155172413793102
BCS1_S10,408.88,-1722.98077,-51.76,-5.57,5.49,2.0,-1.16,15552.0,429.97,401.84,261.41,-221.01,31.75,0.15,78.001,1.63,185.59,72.93,1137.9,-1722.52309,311.44,653.51,-1722.5973,1.88,1.64,0.82,8115.0,1930.0,6050.0,28626246.0,813.5,2.03,8.82,7.9723,3780905.0,115.12043882606481,3.1960319999999993,2.03,3.927241379310345
