Primary ID,Temp Z1,Temp Z2,Temp Z3,Temp Z4,Temp Z5,Screw speed
Amlodipine_N1_1,130,145,165,173,174,30
Amlodipine_N1_2,130,145,165,173,174,30
Amlodipine_N2_1,130,145,160,169,172,30
Amlodipine_N2_2,130,145,160,169,172,30
Amlodipine_N4_1,130,145,160,164,163,30
Amlodipine_N4_2,130,145,160,164,163,30
Amlodipine_N5_1,130,154,160,160,161,30
Amlodipine_N5_2,130,154,160,160,161,30
Amlodipine_N10_1,130,145,160,160,160,30
Amlodipine_N10_2,130,145,160,160,160,30
Amlodipine_N11_1,130,145,160,161,161,30
Amlodipine_N11_2,130,145,160,161,161,30
Paracetamol_N1_1,135,145,160,168,169,45
Paracetamol_N1_2,135,145,160,168,169,45
Paracetamol_N2_1,138,145,158,162,162,75
Paracetamol_N2_2,138,145,158,162,162,75
Paracetamol_N3_1,135,145,155,157,157,30
Paracetamol_N3_2,135,145,155,157,157,30
Paracetamol_N4_1,135,145,155,157,159,38
Paracetamol_N4_2,135,145,155,157,159,38
Paracetamol_N5_1,135,145,155,154,157,30
Paracetamol_N5_2,135,145,155,154,157,30
Paracetamol_N6_1,135,145,155,157,159,38
Paracetamol_N6_2,135,145,155,157,159,38
Paracetamol_N7_1,135,145,150,153,156,30
Paracetamol_N7_2,135,145,150,153,156,30
Paracetamol_N8_1,135,145,155,157,159,38
Paracetamol_N8_2,135,145,155,157,159,38
Paracetamol_N9_1,135,145,155,157,159,38
Paracetamol_N9_2,135,145,155,157,159,38
Paracetamol_N10_1,135,145,155,154,157,30
Paracetamol_N10_2,135,145,155,154,157,30
Paracetamol_N11_1,135,145,155,154,157,30
Paracetamol_N11_2,135,145,155,154,157,30
Felodipine_N1_1,140,157,167,168,165,100
Felodipine_N1_2,140,157,167,168,165,100
Felodipine_N2_1,140,157,167,168,165,100
Felodipine_N2_2,140,157,167,168,165,100
Felodipine_N3_1,140,157,167,168,165,100
Felodipine_N3_2,140,157,167,168,165,100
Felodipine_N4_1,140,160,163,165,166,28
Felodipine_N4_2,140,160,163,165,166,28
Felodipine_N5_1,140,157,167,168,165,100
Felodipine_N5_2,140,157,167,168,165,100
Felodipine_N6_1,140,157,174,173,165,300
Felodipine_N6_2,140,157,174,173,165,300
Felodipine_N7_1,140,157,167,168,165,100
