Primary ID,Temperatura  duză de imprimare (grade),Temperatura pat imprimare (grade),Viteză de imprimare (x = ori)
BCS1_S1,190.0,60.0,1.0
BCS1_S2,190.0,60.0,1.0
BCS1_S3,190.0,60.0,1.0
BCS1_S4,190.0,60.0,1.0
BCS1_S6,190.0,60.0,1.0
BCS1_S7,190.0,60.0,1.0
BCS1_S8,190.0,60.0,1.0
BCS1_S9,190.0,60.0,1.0
BCS1_S10,190.0,60.0,1.0
BCS1_S16,190.0,60.0,1.0
BCS1_S17,190.0,60.0,1.0
BCS1_S18,190.0,60.0,1.0
BCS1_S19,190.0,60.0,1.0
BCS1_S20,190.0,60.0,1.0
BCS1_S21,190.0,60.0,1.0
BCS1_S22,190.0,60.0,1.0
BCS1_S23,190.0,60.0,1.0
BCS1_S24,190.0,60.0,1.0
BCS1_S25,190.0,60.0,1.0
BCS1_S46,190.0,60.0,1.0
BCS1_S47,190.0,60.0,1.0
BCS1_S48,190.0,60.0,1.0
BCS1_S49,190.0,60.0,1.0
BCS1_S50,190.0,60.0,1.0
BCS1_S51,190.0,60.0,1.0
BCS1_S52,190.0,60.0,1.0
BCS1_S53,190.0,60.0,1.0
BCS1_S54,190.0,60.0,1.0
BCS1_S55,190.0,60.0,1.0
BCS1_S56,195.0,60.0,1.0
BCS1_S57,195.0,60.0,1.0
BCS1_S58,195.0,60.0,1.0
BCS1_S59,195.0,60.0,1.0
BCS1_S60,195.0,60.0,1.0
BCS1_S61,195.0,60.0,1.0
BCS1_S62,195.0,60.0,1.0
BCS1_S63,195.0,60.0,1.0
BCS1_S64,195.0,60.0,1.0
BCS1_S65,195.0,60.0,1.0
BCS1_S66,195.0,60.0,1.0
BCS1_S67,195.0,60.0,1.0
BCS1_S68,195.0,60.0,1.0
BCS1_S69,195.0,60.0,1.0
BCS1_S70,195.0,60.0,1.0
BCS1_S71,195.0,60.0,1.0
BCS1_S72,195.0,60.0,1.0
BCS1_S73,195.0,60.0,1.0
BCS1_S74,195.0,60.0,1.0
BCS1_S75,195.0,60.0,1.0
BCS1_S76,195.0,60.0,1.0
BCS1_S77,195.0,60.0,1.0
BCS1_S78,195.0,60.0,1.0
BCS1_S79,195.0,60.0,1.0
BCS1_S80,195.0,60.0,1.0
BCS1_S81,165.0,60.0,1.0
BCS1_S82,165.0,60.0,1.0
BCS1_S83,165.0,60.0,1.0
BCS1_S84,165.0,60.0,1.0
BCS1_S85,165.0,60.0,1.0
BCS1_S86,175.0,60.0,1.0
BCS1_S87,175.0,60.0,1.0
BCS1_S88,175.0,60.0,1.0
BCS1_S89,175.0,60.0,1.0
BCS1_S90,175.0,60.0,1.0
BCS1_S91,170.0,60.0,1.0
BCS1_S92,170.0,60.0,1.0
BCS1_S93,170.0,60.0,1.0
BCS1_S94,170.0,60.0,1.0
BCS1_S95,170.0,60.0,1.0
BCS1_S96,165.0,60.0,1.0
BCS1_S97,165.0,60.0,1.0
BCS1_S98,165.0,60.0,1.0
BCS1_S99,165.0,60.0,1.0
BCS1_S100,165.0,60.0,1.0
BCS1_S101,165.0,60.0,1.0
BCS1_S102,165.0,60.0,1.0
BCS1_S103,165.0,60.0,1.0
BCS1_S104,165.0,60.0,1.0
BCS1_S105,165.0,60.0,1.0
BCS1_S106,170.0,60.0,1.0
BCS1_S107,170.0,60.0,1.0
BCS1_S108,170.0,60.0,1.0
BCS1_S109,170.0,60.0,1.0
BCS1_S110,170.0,60.0,1.0
BCS1_S111,175.0,85.0,1.0
BCS1_S112,175.0,85.0,1.0
BCS1_S113,175.0,85.0,1.0
BCS1_S114,175.0,85.0,1.0
BCS1_S115,175.0,85.0,1.0
BCS1_S116,170.0,85.0,1.0
BCS1_S117,170.0,85.0,1.0
BCS1_S118,170.0,85.0,1.0
BCS1_S119,170.0,85.0,1.0
BCS1_S120,170.0,85.0,1.0
BCS1_S121,165.0,85.0,1.0
BCS1_S122,165.0,85.0,1.0
BCS1_S123,165.0,85.0,1.0
BCS1_S124,165.0,85.0,1.0
BCS1_S125,165.0,85.0,1.0
BCS1_S126,165.0,85.0,1.0
BCS1_S127,165.0,85.0,1.0
BCS1_S128,165.0,85.0,1.0
BCS1_S129,165.0,85.0,1.0
BCS1_S130,165.0,85.0,1.0
BCS1_S131,165.0,85.0,1.0
BCS1_S132,165.0,85.0,1.0
BCS1_S133,165.0,85.0,1.0
BCS1_S134,165.0,85.0,1.0
BCS1_S135,165.0,85.0,1.0
BCS1_S136,165.0,85.0,1.0
BCS1_S137,165.0,85.0,1.0
BCS1_S138,165.0,85.0,1.0
BCS1_S139,165.0,85.0,1.0
BCS1_S140,165.0,85.0,1.0
BCS1_S141,165.0,85.0,1.0
BCS1_S142,165.0,85.0,1.0
BCS1_S143,165.0,85.0,1.0
BCS1_S144,165.0,85.0,1.0
BCS1_S145,165.0,85.0,1.0
BCS1_S146,165.0,85.0,1.0
BCS1_S147,165.0,85.0,1.0
BCS1_S148,165.0,85.0,1.0
BCS1_S149,165.0,85.0,1.0
BCS1_S150,165.0,85.0,1.0
BCS1_S151,165.0,85.0,1.0
BCS1_S152,165.0,85.0,1.0
BCS1_S153,165.0,85.0,1.0
BCS1_S154,165.0,85.0,1.0
BCS1_S155,165.0,85.0,1.0
BCS1_S156,165.0,85.0,1.0
BCS1_S157,165.0,85.0,1.0
BCS1_S158,165.0,85.0,1.0
BCS1_S159,165.0,85.0,1.0
BCS1_S160,165.0,85.0,1.0
BCS1_S161,165.0,85.0,1.0
BCS1_S162,165.0,85.0,1.0
BCS1_S163,165.0,85.0,1.0
BCS1_S164,165.0,85.0,1.0
BCS1_S165,165.0,85.0,1.0
BCS2_S1,180.0,60.0,1.0
BCS2_S2,180.0,60.0,1.0
BCS2_S3,180.0,60.0,1.0
BCS2_S4,180.0,60.0,1.0
BCS2_S5,180.0,60.0,1.0
BCS2_S11,175.0,60.0,1.0
BCS2_S12,175.0,60.0,1.0
BCS2_S13,175.0,60.0,1.0
BCS2_S14,175.0,60.0,1.0
BCS2_S15,175.0,60.0,1.0
BCS2_S16,175.0,60.0,1.0
BCS2_S17,175.0,60.0,1.0
BCS2_S18,175.0,60.0,1.0
BCS2_S19,175.0,60.0,1.0
BCS2_S20,175.0,60.0,1.0
BCS2_S21,175.0,60.0,1.0
BCS2_S22,175.0,60.0,1.0
BCS2_S23,175.0,60.0,1.0
BCS2_S24,175.0,60.0,1.0
BCS2_S25,175.0,60.0,1.0
BCS2_S31,175.0,60.0,1.0
BCS2_S32,175.0,60.0,1.0
BCS2_S33,175.0,60.0,1.0
BCS2_S34,175.0,60.0,1.0
BCS2_S35,175.0,60.0,1.0
BCS2_S36,185.0,60.0,1.0
BCS2_S37,185.0,60.0,1.0
BCS2_S38,185.0,60.0,1.0
BCS2_S39,185.0,60.0,1.0
BCS2_S40,185.0,60.0,1.0
BCS2_S41,180.0,60.0,1.0
BCS2_S42,180.0,60.0,1.0
BCS2_S43,180.0,60.0,1.0
BCS2_S44,180.0,60.0,1.0
BCS2_S45,180.0,60.0,1.0
BCS2_S46,180.0,60.0,1.0
BCS2_S47,180.0,60.0,1.0
BCS2_S48,180.0,60.0,1.0
BCS2_S49,180.0,60.0,1.0
BCS2_S50,180.0,60.0,1.0
BCS2_S51,180.0,60.0,1.0
BCS2_S52,180.0,60.0,1.0
BCS2_S53,180.0,60.0,1.0
BCS2_S54,180.0,60.0,1.0
BCS2_S55,180.0,60.0,1.0
BCS2_S56,195.0,100.0,1.0
BCS2_S57,195.0,100.0,1.0
BCS2_S58,195.0,100.0,1.0
BCS2_S59,195.0,100.0,1.0
BCS2_S60,195.0,100.0,1.0
BCS2_S61,195.0,100.0,1.0
BCS2_S62,195.0,100.0,1.0
BCS2_S63,195.0,100.0,1.0
BCS2_S64,195.0,100.0,1.0
BCS2_S65,195.0,100.0,1.0
BCS2_S66,195.0,100.0,1.0
BCS2_S67,195.0,100.0,1.0
BCS2_S68,195.0,100.0,1.0
BCS2_S69,195.0,100.0,1.0
